в то время;а вахтунда
умрёт герой - останется имя;шив кьейила
умрёт герой - останется имя;пурар амукьда
умрёт герой - останется имя;игит кьейила - твар
конский;шивдин
конь;шив
укропный;шивитдин
укроп;шивит
божья коровка;шив-хвар
ширванпепе;шив-хвар
говорят, что в багдаде осёл стоит два пятака;багъдадда лам кьве шигьи ялда
заниматься мошенничеством (<букв> получать с пяти копеек двадцать копеек прибыли);шигьидилай абас алудун
пятак;шигьи
мелочь;шигьи-бисти
бремя;шидад
тягота;шидад
стихи о родине;ватандикай шиирар
сочинять стихотворение;шиир туькуьрун
четверостишие;кьуд царцин шиир
стихотворный;шиирдин
стихотворный размер;шиирдин уьлчме
стих;шиир
стихотворение;шиир
лезгинская поэзия;лезги шиират
в дагестанской поэзии;дагъустандин шииратда
поэзия;шиират
шииты;шиитар
шиитский;шиитрин
шиит;шиит
приверженец шиизма;шиит
шиизм (одно из двух основных направлений в исламе);шиитвал
лучше горе утром, чем к ночи радость (<соотв> утро вечера мудренее);нянин хийирдилай пакаман шийир хъсан я
беда;шийир
горе;шийир
неприятность;шийир
жаловаться;шикаят авун
клеветать;шикаят авун
он на меня отцу пожаловался;ада залай бубадиз шикаят авунва
грех клеветать на других;масабуралай шикаят авун гунагь я
жалоба;шикаят
арза;шикаят
клевета поклеп;шикаят
напраслина;шикаят
фитне;шикаят
жалобщик;шикаятчи
заниматься жалобами;шикаятчивал авун
занятие жалобщика;шикаятчивал
рисовать, изображать (кого-что-л.);шикил чугун
фотографировать;шикил ягъун
изображение;шикил
картина;шикил
рисунок;шикил
фотография;шикил
форма;шикил
вид;шикил
очертания;шикил
образ;шикил
лицо;шикил
физиономия;шикил
выразительный;шикиллу
живописный;шикиллу
выразительно;шикиллудаказ
живописно;шикиллудаказ
фотограф;шикилчи
художник;шикилчи
кумач (ткань ярко-красного цвета);шиле
асфальт;шилесир
битум;шилесир
оброк (натуральный или денежный сбор, взимавшийся помещиком с крестьянина);шилик
на крышу нанесён слой дресвы;къавуз са къат шим ганва
дресва;шим
север;шимал
северная сторона;шимал
смугляк;шимет
смуглянка;шимет
залежи дресвы;шимехъан
шимпанзе (человекообразная обезьяна);шимпанзе
чудо;шингъар
диво;шингъар
шинельный;шинелдин
шинель (форменное военное пальто);шинель
малыш;шиник
разновидность птицы;шинтатай
покрашенное железо;шир ягъай ракь
краска сходит;шир алатзава
белая краска;лацу шир
краска;шир
сорт груши;ширалайбур
сорт груши;ширван
сорт груши;ширванар
ширванец;ширванви
божья коровка;ширванпепе
шив-хвар;ширванпепе
вишневый;шурванпинидин
вишня;ширванпини
мята;ширгьан
железистый желудок;ширдан
сычуг (сычужную закваску используют при домашнем сыроварении);ширдан
виноградный сок;ципицрин шире
сочные яблоки;шире квай ичер
пчёлы берут с цветов нектар;чижери цуькверилай шире къачузва
сок;шире
нектар;шире
ренклод;ширин хват
делать сладким;ширин авун
сластить;ширин авун
делать вкусным;ширин авун
сладкий язык;ширин мез
сладкий язык змею из гнезда выманит;ширин меци гьуьлягь теквендай акъудда
становиться сладким;ширин хьун
становиться вкусным;ширин хьун
становиться сладким;ширин хьун
приятным;ширин хьун
услаждающим;ширин хьун
сладкий чай;ширин чай
вкусный обед;ширин хуьрек
приятный голос;ширин сес
приятный сон;ширин ахвар
сладкоречивый;ширин мез авай
они очень дороги друг другу;абуруз чпиз чеб гзаф ширин я
сладкий;ширин
вкусный;ширин
сладкий;ширин
приятный;ширин
услаждающий;ширин
дорогой;ширин
уважаемый;ширин
ш - прописное мужское имя - ширин;ширин
сладости;ширинар
ширинлухар;ширинар
сладковатый;ширинвал квай
сладость;ширинвал
обожание;ширинвал
если хочешь сладко;ширинвилелди канзавата
если хочешь сладко;шекер вегь
добавь сахару;ширинвилелди канзавата
добавь сахару;шекер вегь
блюдо приготовлено вкусно;хуьрек ширинвилелди гьазурнава
сладко;ширинвилелди
сладостно;ширинвилелди
вкусно;ширинвилелди
приятно;ширинвилелди
услаждающе;ширинвилелди
с любовью;ширинвилелди
сладости;ширинлухар
сладко-сладко;ширин-ширин
очень сладко;ширин-ширин
клейстер из муки;гъуьруьн шириш
клей;шириш
клейстер;шириш
ятрышник пятнистый;шириш
ятрышник пятнистый;ширишар
желатин (прозрачное клейкое вещество животного происхождения);ширлинк
сразу;ширтна
враз;ширтна
вмиг;ширтна
неол. маляр;ширчи
малярничать;ширчивал авун
профессия;ширчивал
работа маляра;ширчивал
запал (приспособление для воспламенения взрывчатых веществ);ширшил
журчать;ширшир авун
звукоподражание журчанию;ширшир
недосолить;шит авун
сделать малосольным;шит авун
переборщить;шит авун
перегнуть палку;шит авун
становиться недосолённым;шит хьун
пресным;шит хьун
надоесть;шит хьун
опостылеть;шит хьун
надоеда;шит шурва
зануда;шит шурва
низкие поступки;шит крар
банальные;шит гафар
общеизвестные слова;шит гафар
несолёный;шит
пресный;шит
пошлый;шит
вульгарный;шит
общеизвестный;шит
наскучивший;шит
банальный;шит
пресноватый;шитвал квай
одни и те же повторы в стихотворении создают впечатление банальности;шиирда тикрар жезвай гьа са гафари шитвал арадал гъизва
пресность;шитвал
малосольность;шитвал
пошлость;шитвал
вульгарность;шитвал
сарсахвал;шитвал
эдебсузвал;шитвал
банальность;шитвал
избитость;шитвал
заурядность;шитвал
без соли;шитвилелди
малосольно;шитвилелди
пресно;шитвилелди
пошло;шитвилелди
вульгарно;шитвилелди
непристойно;шитвилелди
банально;шитвилелди
заурядно;шитвилелди
без оригинальности;шитвилелди
задерживаться в росте (о ребёнке);шиткар хьун
тонкие листы (из теста);шиткар чкалар
тонкий хлеб;шиткар
лаваш;шиткар
тонкий;шиткар
поползень;шиткит
шутквар;шиткит
очень надоедливый;шит-шит
докучливый;шит-шит
покрывать крышу шифером;шифер ягъун
шиферный;шифердин
шиферные гвозди;шифердин михер
шифер;шифер
шифон (материя);шифон
шифоньер (шкаф для одежды);шифоньер
шифровать;шифр авун
шифр (условные знаки для секретного письма);шифр
холст;ших
льняное полотно;ших
кетен;ших
брезент;ших
парусина;ших
на старике была холщовая рубашка;кьуьзуьдал шихин перем алай
холщовый;шихин
холщовый;шихинин
конь (породистый, ухоженный);шич
шив;шич
шомполы из нержавеющей стали;шишер муьрхъуь такьадай ракьунбур я
жарить шашлык;шиш ягъун
есть вилкой;шишинал туьн
остроконечная папаха;шиш бармак
островерхая гора;шиш дагъ
вертел;шиш
шомпол;шиш
шашлык;шиш
кабаб;шиш
вилка;шиш
кьал;шиш
остроконечный;шиш
пирамидальный тополь;шишкъавах
чинара;шишкъавах
чинар;шишкъавах
чандар;шишкъавах
пик (горы);шишкук
шоколадный;шкалатдин
шоколадного цвета;шкалатдин ранг алай
шоколад;шкалат
книжный шкаф;ктабар твадай шкаф
посудный шкаф;къапар твадай шкаф
шкаф;шкаф
калечить;шкеста авун
увечить;шкеста авун
калечиться;шкеста хьун
увечиться;шкеста хьун
калека;шкеста
инвалид;шкеста
телесное повреждение;шкеста
увечье;шкеста
школьный;школадин
средняя школа;юкьван школа
школа;школа
мектеб;школа
приставать как банный лист;шкьакь хьиз алат тавун
назойливо обращаться с вопросами;шкьакь хьиз алат тавун
просьбами;шкьакь хьиз алат тавун
становиться прижимистым;шкьакь хьун
скупым;шкьакь хьун
камедь;шкьакь
гумми;шкьакь
прижимистый;шкьакь
скупой;шкьакь
проявлять прижимистость;шкьакьвал авун
скупость;шкьакьвал авун
скупиться;шкьакьвал авун
прижимистость;шкьакьвал
скупость;шкьакьвал
скупо;шкьакьвилелди
скаредно;шкьакьвилелди
прижимисто;шкьакьвилелди
устрица;гьуьлуьн шкьуьнт
моллюск;шкьуьнт
улитка;шкьуьнт
слизняк;шкьуьнт
шлагбаум (поднимающийся или выдвигающийся брус на заставах, железнодорожных переездах);шлагбаум
бутень кавказский;шлам
снадобье из прополиса;шленкдикай гьазурнавай дарман
прополис;шленк
огнепроводный шнур (для взрыва чего-л.);бикфордов шнур
тонкая крученая веревка;шнур
электрический провод;шнур
шовинист (приверженец шовинизма);шовинист
миллетбаз;шовинист
шовинизм;шовиниствал
миллетбазвал;шовиниствал
шоссейный;шосседин
шоссейная дорога;шосседин рехъ
шоссе;шоссе
шофёр;шофёр
работать шофёром;шофёрвал авун
шофёрский;шофёрвилин
занятие;шофёрвал
профессия шофёра;шофёрвал
шпала (опора для рельсов);шпал
шпион (лазутчик, разведчик);шпион
жасус;шпион
шпионить;шпионвал авун
шпионский;шпионвилин
шпионство;шпионвал
шпионаж;шпионвал
жасусвал;шпионвал
шпионски;шпионвилелди
жасусвилелди;шпионвилелди
шприц (инструмент для введения лекарства под кожу);шприц
шрифт (рисунок, начертание букв);шрифт
штабной;штабдин
штаб;штаб
штабист, работник штаба (какого-л.);штабист
штамп (вид печати, обычно прямоугольной, с названием учреждения, адресом);штамп
спортивная штанга;спортдин штангар
буровая штанга;буругь эгъуьндай штанга
штанга;штанга
штангист (спортсмен-тяжелоатлет);штангист
внештатный;штатдик квачир
необходимо сократить штаты;штатар тимиларна канда
штатный;штатрин
штатное расписание;штатрин сиягь
штаты;штатар
соединённые штаты америки;америкадин садхьанвай штатар
штат (постоянный состав сотрудников какого-л. учреждения);штат
штат (административно-территориальная единица в некоторых странах);штат
штатив (тренога);штатив
рассада капусты;келемдин штилар
рассада помидоров;помидордин штилар
пересаживать рассаду;штилар ягъун
рассада;штил
штрафовать;штраф авун
штраф;штраф
жерме;штраф
праправнук;штул
положение праправнука;штулвал
штурмовать;штурм авун
штурм (приступ, решительная атака);штурм
штурман (специалист по вождению кораблей, самолетов, дирижаблей);штурман
работать штурманом;штурманвал авун
профессия;штурманвал
работа штурмана;штурманвал
сушить;штум авун
вялить;штум авун
сохнуть;штум хьун
земля высохла (после дождя);чил штум хьанва
как только подсохнет;са гьал штум хьанмазди
как только подсохнет;алук
надень;са гьал штум хьанмазди
надень;алук
вялиться;са гьал штум хьанмазди
вялиться;алук
мясо вялится;як штум жезва
вяленая рыба;штумарай балугъ
давать подсохнуть;штумарун
подсушивать;штумарун
вялить;штумарун
козлобородник;штуьнта
парс;штуьнта
подозрение;шубгьал
гиман;шубгьал
шак;шубгьал
подозрительный;шубгьаллу
не вызывающий доверия;шубгьаллу
гиманлу;шубгьаллу
шаклу;шубгьаллу
подозрительность;шубгьаллувал
недоверие;шубгьаллувал
гиманлувал;шубгьаллувал
шаклувал;шубгьаллувал
подозрительно;шубгьаллувилелди
недоверчиво;шубгьаллувилелди
гиманлувилелди;шубгьаллувилелди
шаклувилелди;шубгьаллувилелди
верзила;шувакь
высокий человек;шувакь
высокий;шувакь
долговязый;шувакь
плач;шуван
рыдание;шуван
вопль;шуван
изготовляют из грабовой древесины;шугъул карасдикай ийизва
отвес (для выверки вертикального положения);шугъул
грабовый;шугъул
гигин;шугъул
гийин;шугъул
цикин;шугъул
граб;шугъултар
устраивать беспорядок;шудургъаяр авун
ералаш;шудургъаяр авун
беспорядок;шудургъа
ералаш;шудургъа
бестолковщина;шудургъа
и вводн. слава аллаху!;аллагьдиз шукур!
восхвалять;шукур авун
благодарить;шукур авун
выражать признательность;шукур авун
слава;шукур
благодарение;шукур
признательность;шукур
слава богу!;шукураллагь!
клещ (мелкий);шуква
помощник;шукурт
подмастерье;шукурт
подручный мастера;шукурт
работать подмастерьем;шукуртвал авун
положение подмастерья;шукуртвал
изувечивать;шулу авун
калечить;шулу авун
изнурять;шулу авун
мучить;шулу авун
вяло;шулу верч хьиз
нерасторопно;шулу верч хьиз
вялый;шулу верч хьтин
неподвижный;шулу верч хьтин
нерасторопный;шулу верч хьтин
калечиться;шулу хьун
слабеть;шулу хьун
становиться слабым;шулу хьун
вялым;шулу хьун
нерасторопным;шулу хьун
со своими искалеченными ногами я не смогу пойти туда;жуван шулу квачер гваз завай аниз физ жедач
вялая курица;шулу верч
искалеченный;шулу
изувеченный;шулу
усталый;шулу
измученный;шулу
выбившийся из сил;шулу
искалеченность;шулувал
изувеченность;шулувал
измученность;шулувал
усталость;шулувал
скандалить;шулугъ авун
дебоширить;шулугъ авун
поднимать скандал;шулугъ акъудун
дебоширить;шулугъ акъудун
баламутить;шулугъ тун
буянить;шулугъ тун
безобразничать;шулугъ тун
озорничать;шулугъ тун
держись подальше от скандалиста;шулугь квайдавай яргъа хьухь
скандал;шулугъ
дебош;шулугъ
скандалить;шулугъарун
безобразничать;шулугъарун
скандалист;шулугъчи
безобразник;шулугъчи
смутьян;шулугъчи
дебоширство;шулугъчивал
хулиганство;шулугъчивал
скандальность;шулугъчивал
устало;шулудаказ
измученно;шулудаказ
птенец куропатки;шумакь
стройный;шумал буй
тонкий стан;шумал буй
стройная фигура;шумал буй
стройная девушка;шумал буйдин руш
стройный тополь;шумал къавах
стройный;шумал
статный;шумал
тавар;шумал
стройность;шумалвал
статность;шумалвал
не хватать (о еде);шумпни тахьун
несколько;са шумуд
сколько человек у нас в семье?;чи квале шумуд кас ава?
который час?;сятдин шумуд я?
многие;шумудни сад
многочисленные (об однородных предметах, явлениях, понятиях);шумудни сад
несколько (употр. при указании на неопределённое, но небольшое количество кого-чего-л.);шумудни са
сколько?;шумуд
относит. сколько;шумуд
говорил же неоднократно;шумудни-садра лагьайди тир эхир
неоднократно;шумудни-садра
многократно;шумудни-садра
сколько раз я к тебе приходил по этому делу?;а кардин патахъай шумудра зун ви патав атанай?
сколько раз;шумудра
смазливый;шумшат
миловидный;шумшат
зоб (опухолевидное увеличение щитовидной железы у человека;шунк
базедова болезнь);шунк
зоб (расширение пищевода у птиц);шунк
раздавливать;шуп авун
надавив;шуп авун
расплющивать;шуп авун
сминать;шуп авун
раздавливаться;шуп хьун
расплющиваться;шуп хьун
раздавливать;шупарун
надавив;шупарун
расплющивать;шупарун
сминать;шупарун
творог;шур
мукаш;шур
советская власть;шура гьукумат
бедняки организовали свой отдельный совет;кесибри чпин кьилдин шура тешкилна
совет;шура
вялый человек;шурдул
мямля;шурдул
вялый;шурдул
апатичный;шурдул
инертный;шурдул
вялость;шурдулвал
апатичность;шурдулвал
инертность;шурдулвал
вяло;шурдулвилелди
апатично;шурдулвилелди
инертно;шурдулвилелди
бульон;шурпа
суп;шурпа
чик;шурпа
шмыгать;шурт авун
шумно втягивать носом воздух;нери шурт авун
шмыгать носом;нери шурт авун
шумное втягивание носом воздуха;шурт
шмыганье;шурт
посадить малыша за спину для ношения;шутарун
поползень;шутквар
вытереть нос;нер шуткун
девушка подметает двор;руша гьаят шткизва
подметать;шуткун
жугун;шуткун
чохта (женский головной убор, под который прячут волосы);шуткьу
выхватил палку из рук;шуткьунна лаш гъиляй акъудна
выжимать (что-л., извлекая жидкость, влагу);шуткьунун
выхватывать;шуткьунун
дёргать;шуткьунун
клоповник;шутран цуьк
клопиный;шутран
клоповый;шутран
клоп;шут
свидина;шутратар
марв;шутратар
клоповник;шутрацуьк
бесформенный;шуькьуьнт хьтинди
неказистый (о человеке);шуькьуьнт хьтинди
тонкой стороной;шуьквеба
сухощавый;шуьквец
жилистый человек;шуьквец
делать тонким;шуькуь авун
истончать;шуькуь авун
тонкий голос;шуькуь сес
становиться тонким;шуькуь хьун
тончать;шуькуь хьун
тонкая бумага;шуькуь чар
тонкая нитка;шуькуь гъал
тонкая проволока;шуькуь сим
узкая дырка;шуькуь твек
тонкий;шуькуь
тонкость;шуькуьвал
тонко;шуькуьдаказ
прямая кишка;шуькуьрад
дубур;шуькуьрад
способность соображать;шуьмгуь
сообразительность;шуьмгуь
сметливость;шуьмгуь
орешник;шуьмягъдин тар
орешек;шуьмягъ
орешник;шуьмягълух
ореховый массив;шуьмягълух
орешник;шуьмягътар
приготовить шербет;шуьрбет авун
шербет (сладкий напиток);шуьрбет
сдоба;шуьре
небольшой хлебец;шуьре
начиненный халвой и орехами;шуьре
солончаковый;шуьрекатдин
солончак;шуьрекат
дузлах;шуьрекат
сорт винограда;шуьреципиц
сорт винограда;шуьреципицар
долговязый мальчик;шуьрлуьнц
со сладковатым вкусом;шуьруькьуьм дад галай
сладковатый;шуьруькьуьм
сладковатость;шуьруькьуьмвал
сладковато;шуьруькьуьмдаказ
стружка;шуьткъвел
мятая ткань;шуьткьвей парча
мятые брюки;шуьткьвей шалвар
без воды цветы вянут;яд авачиз цуьквер шуьткьвезва
его отец такой хилый мужчина;адан буба са шуьткьвей итим я
мятый;шуьткьвей
завядший;шуьткьвей
блёклый;шуьткьвей
вялый;шуьткьвей
чахлый;шуьткьвей
болезненный;шуьткьвей
хилый (о человеке);шуьткьвей
морщинистый;шуьткьверар авай
морщинистое лицо;шуьткьверар авай чин
и сегодня на нём была помятая рубашка;къени адал шуьткьверар авай перем алай
морщина;шуьткьвер
бириш;шуьткьвер
складка на помятой одежде;шуьткьвер
сморчок;шуьткьверар
тамун (тамун як);шуьткьверар
он вечно ходил с растрёпанной тетрадью своих стихов;ам гьамиша вичин шииррин шуьткьвей дафтарни гваз жедай
ты сад;шуьткьуьн тийир цуьквер авай багъ я вун
с неувядающими цветами;шуьткьуьн тийир цуьквер авай багъ я вун
мяться;шуьткьуьн
растрёпываться;шуьткьуьн
вянуть;шуьткьуьн
блёкнуть;шуьткьуьн
бумагу скомкал и выбросил через окно;чар шуьткьуьрна дакардай гадарна
почему дал цветам увянуть?;цуьквер вучиз шуьткьуьрна?
мять;шуьткьуьрун
сминать;шуьткьуьрун
комкать;шуьткьуьрун
способствовать увяданию;шуьткьуьрун
коричневый цвет;шуьтруь ранг
коричневые брюки;шуьтруь шалвар
коричневый;шуьтруь
коричневая пряжа;шуьтруьяр
застеклять, вставлять стекло (во что-л.);шуьше тун
стекло от лампы;лампадин шуьше
оконное стекло;дакардин шуьше
стеклянный;шуьшедин
стекольный;шуьшедин
стекольный завод;шуьшедин завод
бутылка с лекарством;дарман авай шуьше
купи бутылку водки;са шуьше эрекь къачу
стекло;шуьше
бутылка;шуьше
со стороны остеклённой веранды;шуьшебенд галай патахъай
застеклённая веранда;шуьшебенд айван
остеклённая терраса;шуьшебенд
веранда;шуьшебенд
со вставленными стёклами;шуьшебенд
застеклённый;шуьшебенд
медведка;шуьшегерден
стеклянный;шуьшедин
сабельный;шуьшкадин
лезвие шашки;шуьшкадин тия
шашка;шуьшка
сабля;шуьшка
шчу! (слово для подзыва коровы, телёнка);шчу!
двадцать пятая буква лезгинского алфавита;с
одной рукой в ладоши не хлопнешь;са капуни вандач
некоторый;са бязи
иной;са бязи
кое-как;са бубат
слегка;са бубат
когда-нибудь (в прошлом или в будущем);са вахтара
никогда;са вахтундани <макъамдани
никогда;чавузни>
одноглазый;са вил авай
одноглазый аждахан;са вил авай аждагьан
циклоп;са вил авай аждагьан
заглянуть;са вил вегьин
взглянуть;са вил вегьин
бросить взгляд;са вил вегьин
поспать недолго;са вил ахвар авун
соснуть;са вил ахвар авун
бросить взгляд;са вил ягъун
смотреть косо;са виляй килигун
что-то;са вуч ятани
нечто;са вуч ятани
какой-то;са вучтин ятани
некий;са вучтин ятани
настоять на своём;са гафунал акъвазун
отстоять свою точку зрения;са гафунал акъвазун
нареч. одним словом, коротко;са гафуналди
говоря коротко;са гафуналди лагьайта
одним словом;са гафуналди лагьайта
одним словом;са гафуналди
короче говоря;са гафуналди
одним словом;са гафуналди
одним словом;абур меслят хъхьанва
они помирились;са гафуналди
они помирились;абур меслят хъхьанва
ненадолго;са герен(да)
на короткое время;са герен(да)
позже;са герендилай
попозже;са герендилай
спустя некоторое время;са герендилай
с трудом;са гуж-баладалди
кое-как;са гуж-баладалди
насилу;са гуж-баладалди
убивать одним выстрелом двух зайцев;са гуьлледи кьве къуьр ягъун
горсть, малое количество (чего-л.);са гъапа авай
на минутку;са гъвечи
ненадолго;са гъвечи
однажды;са гъилера <рачара
однажды;рекьера
однажды;сеферда>
единожды;са гъилера <рачара
единожды;рекьера
единожды;сеферда>
раньше;са гъилера <рачара
раньше;рекьера
раньше;сеферда>
прежде;са гъилера <рачара
прежде;рекьера
прежде;сеферда>
кое-как;са гьалда
слегка;са гьалда
в каком-л. месте, где-нибудь;са гъина ятани
неопределённый;са гьихьтин ятани
неясный;са гьихьтин ятани
целый ряд;са жерге
чуть;са жизви
немного;са жизви
слегка;са жизви
чуть что;са жизвидилай
по малейшему поводу;са жизвидилай
однородные члены;са жинсинин членар
кое-как;са жуьре
кое-как отремонтировал и отдал;са жуьре хъувуна вахкана
странно;са жуьре хъувуна вахкана
он что-то странно выглядит;ам са жуьре аквазва ман
почувствовать дурноту;са жуьре хьун
пустяк;са зат
безделица;са зат
сущ. шедевр, образцовое изделие;са зат
не картина;шикил туш
не картина;са зат я
а шедевр;шикил туш
а шедевр;са зат я
единокровный;са ивидин
единокровные братья;са ивидин стхаяр
единокровные дети;са ивидинбур
однолетний;са йисан
годовалый;са йисан
годовалый телёнок;са йисан дана
годичный;са йисан дана
годичные курсы;са йисан курсар
годичные обязательства;са йисан мажбурнамаяр
в годичный срок;са йисан къене
одногодки;са йисанбур
ровесники;са йисанбур
ломоть хлеба;са кап фу
горсть;са капаш <гьаб>
немного;са капаш <гьаб>
ни с того ни с сего, беспричинно;са карни авачиз
как ни в чём не бывало;са карни тахьай хьиз
кто-то;са кас
некто;са кас
быть наготове;са кикел акъвазун
ни в чём не уступать (кому-чему-л.);са куьнайни агъада тахьун
оставаться у разбитого корыта;са куьникайни тахьун
терпеть неудачу (в делах);са куьникайни тахьун
нехотя;са къвала ял аваз
неохотно;са къвала ял аваз
немало;са кьадар
достаточно много;са кьадар
над книгой автор немало потрудился;ктабдал авторди са кьадар зегьмет чугунва
находиться при смерти, быть между жизнью и смертью (<букв> находиться одной ногой в доме, а другой - в могиле);са квач квале
находиться при смерти, быть между жизнью и смертью (<букв> находиться одной ногой в доме, а другой - в могиле);са квач сура аваз хьун
быть наготове;са квачел акъвазун
в один момент;са легьзеда
мгновенно;са легьзеда
моментально;са легьзеда
тотчас;са легьзеда
дромадер;са мандавдин деве
одногорбый верблюд;са мандавдин деве
где-то в другом месте;са масана
в какое-л. время, когда-нибудь;са мус ятани
довольно много;са пара
порядком;са пара
нехотя;са пата ял аваз хьиз
неохотно;са пата ял аваз хьиз
с одной стороны … с другой стороны;са патахъай... муькуь патахъай
единоутробные;са пицинихъай атайбур
безусловно;са рахунни алачиз
непременно;са рахунни алачиз
несомненно;са рахунни алачиз
единоутробный;са руфунин
единоутробные братья;са руфунин стхаяр
единоутробные дети;са руфунинбур
однажды;са сеферда
единожды;са сеферда
раньше;са сеферда
прежде;са сеферда
быть двуликим (<букв> иметь два языка во рту);са сиве кьве мез хьун
говорить в унисон;са сивяй рахун
поддакивать;са сивяй рахун
поддерживать;са сивяй рахун
одножильный;са тахан
са тахан муфтул одножильный трос;са тахан
перен. хилый, слабый;са тахан
слабый человек;са тахан инсан
слабак;са тахан инсан
хиляк;са тахан инсан
кое-как;са тегьер
грубо;са тегьерда
топорно;са тегьерда
без должного качества;са тегьерда
немножко;са тимил
чуть-чуть;са тимил
с палец;са туб хьтин
худой;са туб хьтин
тощий;са туб хьтин
маленький;са туб хьтин
молчать;са туб алай чкадал кьве туб эцигун
безмолвствовать;са туб алай чкадал кьве туб эцигун
бегло;са уьтери
вскользь;са уьтери
мельком;са уьтери
смутно;са уьтери
куча;са хара
груда;са хара
ворох;са хара
немало;са хейлин
достаточно много;са хейлин
когда-то;са чавуз
когда-нибудь;са чавуз
никогда;са чавузни
находиться в опасном положении (<букв> висеть на волоске);са чарчикай куьрс хьун
годовалый (о животных);са чуран
годовалый телёнок;са чуран дана
несколько;са шумуд
несколько человек;са шумуд кас
не раз;са шумудра
несколько раз;са шумудра
быть несчастным;са югъ такун
в один день;са юкъуз
однажды;са юкъуз
когда-нибудь;са юкъуз
ножовка;са гъилин мишер
когда-нибудь;са мус ятани
где-то в другом месте;са масана
вчера в район приехал какой-то корреспондент;накь райондиз са мухбир атанвай
как говорил какой-то мудрец;са арифдарди лагьайвал
как говорил какой-то мудрец;инсандин ахмакьвилихъ сергьятар авач
человеческая глупость не знает границ;са арифдарди лагьайвал
человеческая глупость не знает границ;инсандин ахмакьвилихъ сергьятар авач
одно яблоко красное;са ич яруди я
одно яблоко красное;са ич -къацуди
другое - зелёное;са ич яруди я
другое - зелёное;са ич -къацуди
останется только имя в этом мире;амукьдайди са твар-ван я дуьньяда
одинакового роста;са буйдин
одного возраста;са яшарин
один;са
какой-то;са
некий;са
другой;са
иной;са
только;са
лишь;са
одинаковый;са
подобный;са
доброе утро!, с добрым утром!;сабагь хийир!
сабза (сорт изюма, кишмиша без косточек);сабза
горшок с двумя ручками;саблагъа
за некачественную работу он денег не даст;сабубат квалахдай ада пул гудайди туш
ему не нравятся посредственные вещи;адаз са бубат затар бегенмиш жедайди туш
через окно падал слабый свет;дакардай сабубат экв аватзавай
сделай кое-как;сабубат авурла бес я
и хватит;сабубат авурла бес я
парня мы кое-как успокоили;гада чна сабубат секинарна
некачественный;сабубат
посредственный;сабубат
топорный;сабубат
грубый;сабубат
неполный;сабубат
половинчатый;сабубат
слабый;сабубат
кое-как;сабубат
так себе;сабубат
сносно;сабубат
средне;сабубат
терпение - это достоинство;сабур абур я
выводить из терпения;сабур тун тавун
выходить из терпения;сабур акьалтун
лопнуть - о терпении;сабур акьалтун
запастись терпением;сабур авун
вытерпеть;сабур авун
перенести (что-л.);сабур авун
успокаивать;сабур гун
унимать;сабур гун
терпеть;сабур хуьн
сносить;сабур хуьн
сдержал себя - не опозорился (сохранил остоинство);сабур хвена - абур хвена
сдержанность;сабур
выдержка;сабур
терпение;сабур
одиночный чих;сабур
говори не спеша;сабурдалди рахух
сдержанно;сабурдалди
не спеша;сабурдалди
делать сдержанным;сабурлу авун
делать терпеливым;сабурлу авун
становиться сдержанным;сабурлу хьун
становиться терпеливым;сабурлу хьун
умеющий владеть собою;сабурлу
сдержанный;сабурлу
терпеливый;сабурлу
способный терпеть;сабурлу
проявлять выдержку;сабурлувал авун
сдержанность;сабурлувал авун
выдержка;сабурлувал
сдержанность;сабурлувал
спокойно;сабурлувилелди
сдержанно;сабурлувилелди
терпеливо;сабурлувилелди
становиться несдержанным;сабурсуз хьун
невыдержанным;сабурсуз хьун
